Locus_id,Gene,Number of bases,Number of SNPs,Number of silent SNPs,Number of non-silent SNPs,Density (SNPs/bp),P-value,Product,Functional category,Subcellular localization,Bvg regulation
BP3803,-,972,4,2,2,0.00412,1.5322,putative transport system permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP1949,-,1950,8,2,6,0.00410,0.9383,putative permease component of branched-chain amino acid transport system,transport/binding proteins,Cytoplasmic Membrane,
BP1122,-,489,2,0,2,0.00409,1.6067,AsnC-family transcriptional regulator,regulation,Cytoplasmic,
BP3039,alsB,489,2,1,1,0.00409,1.6015,leucine-responsive regulatory protein,regulation,Cytoplasmic,
BP1690,-,737,3,1,2,0.00407,1.5865,putative exported protein (Pseudogene),pseudogenes,ND,-
BP0238,folK,492,2,1,1,0.00407,1.5915,2-amino-4-hydroxy-6-hydroxymethyldihydropteridi ne pyrophosphokinase,cofactor biosynthesis,Cytoplasmic,
BP0450,-,246,1,1,0,0.00407,1.5760,conserved hypothetical protein,conserved hypothetical,Unknown,
BP3057,-,1725,7,5,2,0.00406,1.1295,putative ATP-dependent RNA helicase,macromolecule synthesis/modification,Cytoplasmic,
BP0542,-,996,4,1,3,0.00402,1.5840,putative exported protein,cell surface,Periplasmic,
BP2927,-,498,2,0,2,0.00402,1.5724,putative integral membrane protein,cell surface,Cytoplasmic Membrane,+
BP0745,-,750,3,1,2,0.00400,1.5958,putative transcriptional regulator,regulation,Unknown,
BP1915,-,501,2,1,1,0.00399,1.5681,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2177,-,501,2,1,1,0.00399,1.5634,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2353,-,501,2,1,1,0.00399,1.5586,putative inner membrane transport protein,transport/binding proteins,Cytoplasmic Membrane,
BP2710,moaD,252,1,0,1,0.00397,1.5666,molybdopterin converting factor,cofactor biosynthesis,Unknown,
BP2715,-,504,2,0,2,0.00397,1.5593,AhpC/TSA-family protein,miscellaneous,Unknown,
BP3070,-,252,1,0,1,0.00397,1.5642,conserved hypothetical protein,conserved hypothetical,Unknown,
BP3470,fdx,252,1,0,1,0.00397,1.5619,ferredoxin,energy metabolism,Unknown,
BP1245,-,507,2,1,1,0.00394,1.5553,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP2681,paaD,507,2,1,1,0.00394,1.5507,phenylacetic acid degradation protein,small molecule degradation,Unknown,
BP3816,-,762,3,1,2,0.00394,1.6366,conserved hypothetical protein,conserved hypothetical,Unknown,
BP0330,-,1017,4,1,3,0.00393,1.5917,conserved hypothetical protein,conserved hypothetical,Unknown,
BP3831,-,1017,4,0,4,0.00393,1.5769,putative ABC transporter periplasmic amino acid-binding protein,transport/binding proteins,Periplasmic,
BP3825,glpK,1527,6,3,3,0.00393,1.4556,glycerol kinase,small molecule degradation,Cytoplasmic,
BP1698,-,510,2,1,1,0.00392,1.5606,putative exported protein,cell surface,Unknown,
BP0462,-,774,3,2,1,0.00388,1.6590,"ABC-transporter, ATP-binding component",transport/binding proteins,Cytoplasmic Membrane,
BP1212,-,516,2,0,2,0.00388,1.5576,putative exported protein,cell surface,Unknown,
BP3235,-,516,2,1,1,0.00388,1.5531,hypothetical protein,unknown,Unknown,
BP1465,bisB,1293,5,3,2,0.00387,1.6052,molybdopterin biosynthesis protein,cofactor biosynthesis,Cytoplasmic,
BP0567,-,777,3,2,1,0.00386,1.6557,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,
BP1707,-,777,3,1,2,0.00386,1.6468,"putative ABC-transport protein, ATP-binding component",transport/binding proteins,Cytoplasmic Membrane,+
BP0916,-,780,3,1,2,0.00385,1.6524,putative ATP-binding protein of a transporter (Pseudogene),pseudogenes,ND,
BP0188,-,521,2,0,2,0.00384,1.5678,putative acetyltransferase (Pseudogene),pseudogenes (phase-variable),ND,
BP0234,-,1044,4,0,4,0.00383,1.6151,putative solute-binding periplasmic protein,transport/binding proteins,Periplasmic,
BP1545A,-,261,1,0,1,0.00383,1.5496,hypothetical protein,unknown,Unknown,
BP1953,-,522,2,0,2,0.00383,1.5635,probable oxidoreductase,miscellaneous,Cytoplasmic,
BP2359,-,261,1,0,1,0.00383,1.5473,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2853,-,783,3,2,1,0.00383,1.6492,probable short chain dehydrogenase,central/intermediary metabolism,Cytoplasmic,
BP3522,-,1308,5,1,5,0.00382,1.5366,putative membrane protein,cell surface,Cytoplasmic Membrane,+
BP0013,rplJ,525,2,2,0,0.00381,1.5599,50S ribosomal protein L10,ribosome constituents,Cytoplasmic,
BP2867,-,789,3,0,3,0.00380,1.6519,"putative ABC transport proteins, ATP-binding component",transport/binding proteins,Cytoplasmic Membrane,-
BP2271,-,1319,5,1,4,0.00379,1.5018,putative regulatory lipoprotein,cell surface,Unknown,
BP0887,-,1056,4,2,2,0.00379,1.6561,conserved hypothetical protein,conserved hypothetical,Periplasmic,
BP1019,infA,264,1,1,0,0.00379,1.5553,translation initiation factor IF-1,macromolecule synthesis/modification,Cytoplasmic,
BP1813,pdxA,1056,4,0,4,0.00379,1.6418,putative pyridoxal phosphate biosynthetic protein,cofactor biosynthesis,Cytoplasmic,
BP2985,bpH1,528,2,2,0,0.00379,1.5564,histone protein,regulation,Cytoplasmic,
BP2375,-,530,2,0,2,0.00377,1.5569,conserved hypothetical protein (Pseudogene),pseudogenes (phase-variable),ND,
BP0039,-,531,2,1,1,0.00377,1.5486,peptide deformylase,macromolecule synthesis/modification,Cytoplasmic,
BP2239,bscS,267,1,0,1,0.00375,1.5587,putative type III secretion protein,virulence-associated genes,Cytoplasmic Membrane,+
BP2264,bscF,267,1,0,1,0.00375,1.5564,putative type III secretion protein,virulence-associated genes,Unknown,+
BP2459,alcD,801,3,1,2,0.00375,1.6830,hypothetical protein,adaptation,Unknown,
BP2735,-,267,1,1,0,0.00375,1.5542,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1929,-,804,3,2,1,0.00373,1.6886,"putative ABC transporter, permease protein",transport/binding proteins,Cytoplasmic Membrane,
BP2744,-,804,3,2,1,0.00373,1.6800,"putative ABC transport protein, ATP-binding component",transport/binding proteins,Cytoplasmic,
BP2222,-,269,1,0,1,0.00372,1.5549,hypothetical protein,unknown,Unknown,
BP2075,-,1347,5,3,2,0.00371,1.4678,putative efflux system inner membrane protein,transport/binding proteins,Cytoplasmic Membrane,
BP0068,-,539,2,1,1,0.00371,1.5553,putative membrane protein (pseudogene),cell surface,ND,
BP0726,-,1620,6,1,5,0.00370,1.5171,"probable ABC transporter, periplasmic binding protein",transport/binding proteins,Periplasmic,-
BP1307,-,540,2,0,2,0.00370,1.5514,putative bacterioferritin comigratory protein,miscellaneous,Unknown,
BP2655,-,810,3,0,3,0.00370,1.6912,putative IclR-family regulatory protein,regulation,Cytoplasmic,
BP3010,-,813,3,0,3,0.00369,1.6883,putative oxidoreductase,miscellaneous,Cytoplasmic,
BP3437,-,813,3,1,2,0.00369,1.6800,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,+
BP1827,-,1356,5,3,2,0.00369,1.4521,putative amidase,miscellaneous,Cytoplasmic,
BP2642,-,1089,4,2,2,0.00367,1.6676,probable ATP-binding ABC transporter protein,transport/binding proteins,Cytoplasmic Membrane,
BP0258,-,546,2,2,0,0.00366,1.5616,conserved hypothetical protein,conserved hypothetical,Cytoplasmic,+
BP2037,-,273,1,0,1,0.00366,1.5496,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2324,-,273,1,0,1,0.00366,1.5474,conserved hypothetical protein,conserved hypothetical,Unknown,
BP2794,rpsR,273,1,1,0,0.00366,1.5452,30s ribosomal protein s18,ribosome constituents,Cytoplasmic,
BP1492,-,1094,4,4,0,0.00366,1.6634,hypothetical protein,unknown,Cytoplasmic Membrane,
BP1487,smoM,1095,4,2,2,0.00365,1.6548,putative periplasmic solute-binding protein,transport/binding proteins,Unknown,+
BP3476,-,822,3,1,2,0.00365,1.7051,binding-protein-dependent transport system permease protein,transport/binding proteins,Cytoplasmic Membrane,
BP3000,mpl,1371,5,2,3,0.00365,1.4936,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl- meso-diaminopimelate ligase,cell surface,Cytoplasmic,
BP0264,apt,549,2,1,1,0.00364,1.5666,adenine phosphoribosyltransferase,central/intermediary metabolism,Cytoplasmic,
BP1009,-,549,2,1,1,0.00364,1.5625,conserved hypothetical protein,conserved hypothetical,Unknown,
BP1628,wza,1098,4,0,4,0.00364,1.6552,putative capsular polysaccharide export protein,transport/binding proteins,Outer Membrane,-
BP0223,catC2,276,1,1,0,0.00362,1.5506,methylmuconolactone isomerase,small molecule degradation,Unknown,
BP2255,-,276,1,1,0,0.00362,1.5484,hypothetical protein,virulence-associated genes,Cytoplasmic,+
BP2348,-,1104,4,2,2,0.00362,1.6434,putative polyamine transport protein,transport/binding proteins,Periplasmic,
BP3689,-,552,2,1,1,0.00362,1.5675,putative membrane protein,cell surface,Unknown,-
BP2229,-,2487,9,3,7,0.00362,1.0304,putative inner membrane transport protein,transport/binding proteins,Cytoplasmic Membrane,+
BP0337,-,831,3,0,3,0.00361,1.7053,putative exported protein,cell surface,Unknown,
