"","seqnames","start","end","width","strand","type","gene","locus_tag","old_locus_tag","loctype","pseudo","gene_synonym","gene_id","product"
"37","Tohama I",4048266,4049177,912,"-","gene","glyQ","BP_RS00185",BP0033,"normal",FALSE,NA,"BP_RS00185","glycine--tRNA ligase subunit alpha"
"38","Tohama I",4046126,4048264,2139,"-","gene",NA,"BP_RS00190",BP0034,"normal",FALSE,NA,"BP_RS00190","glycine--tRNA ligase subunit beta"
"39","Tohama I",4045590,4046129,540,"-","gene","gmhB","BP_RS00195",BP0035,"normal",FALSE,NA,"BP_RS00195","D-glycero-beta-D-manno-heptose 1,7-bisphosphate7-phosphatase"
"40","Tohama I",4044858,4045586,729,"-","gene",NA,"BP_RS00200",BP0036,"normal",FALSE,NA,"BP_RS00200","1-acyl-sn-glycerol-3-phosphate acyltransferase"
"41","Tohama I",4043978,4044871,894,"-","gene",NA,"BP_RS00205",BP0037,"normal",FALSE,NA,"BP_RS00205","M48 family metallopeptidase"
"42","Tohama I",4043512,4043907,396,"-","gene","gloA","BP_RS00210",BP0038,"normal",FALSE,NA,"BP_RS00210","lactoylglutathione lyase"
"43","Tohama I",4042972,4043502,531,"-","gene",NA,"BP_RS00215",BP0039,"normal",FALSE,NA,"BP_RS00215","peptide deformylase"
"44","Tohama I",4042625,4042843,219,"+","gene","fadE","BP_RS00220",BP0040,"normal",TRUE,NA,"BP_RS00220","acyl-CoA dehydrogenase"
"45","Tohama I",4041576,4042526,951,"-","gene",NA,"BP_RS00225",BP0041,"normal",FALSE,NA,"BP_RS00225","IS481-like element IS481 family transposase"
"46","Tohama I",4041102,4041579,478,"+","gene",NA,"BP_RS00230",BP0042,"normal",TRUE,NA,"BP_RS00230","alpha/beta fold hydrolase"
"47","Tohama I",4040441,4040989,549,"-","gene",NA,"BP_RS00235",BP0043,"normal",FALSE,NA,"BP_RS00235","hypothetical protein"
"48","Tohama I",4040233,4040469,237,"+","gene",NA,"BP_RS00240",BP0044,"normal",FALSE,NA,"BP_RS00240","helix-turn-helix domain-containing protein"
"49","Tohama I",4039212,4040105,894,"-","gene",NA,"BP_RS00245",BP0045,"normal",FALSE,NA,"BP_RS00245","AEC family transporter"
"50","Tohama I",4038206,4039208,1003,"+","gene",NA,"BP_RS00250",BP0046,"normal",TRUE,NA,"BP_RS00250","Ldh family oxidoreductase"
"51","Tohama I",4036795,4038042,1248,"-","gene",NA,"BP_RS00255",BP0047,"normal",FALSE,NA,"BP_RS00255","homoserine O-acetyltransferase"
"52","Tohama I",4036184,4036798,615,"-","gene","metW","BP_RS00260",BP0048,"normal",FALSE,NA,"BP_RS00260","methionine biosynthesis protein MetW"
"53","Tohama I",4035098,4036048,951,"-","gene",NA,"BP_RS00270",BP0049,"normal",FALSE,NA,"BP_RS00270","IS481-like element IS481 family transposase"
"54","Tohama I",4033799,4035055,1257,"-","gene",NA,"BP_RS00275",BP0050,"normal",FALSE,NA,"BP_RS00275","muropeptide transporter"
"55","Tohama I",4032625,4033687,1063,"-","gene",NA,"BP_RS00280",BP0051,"normal",TRUE,NA,"BP_RS00280","porin"
"56","Tohama I",4031833,4032567,735,"+","gene",NA,"BP_RS00285",BP0053,"normal",FALSE,NA,"BP_RS00285","aspartate/glutamate racemase family protein"
"57","Tohama I",4031237,4031827,591,"+","gene",NA,"BP_RS00290",BP0054,"normal",FALSE,NA,"BP_RS00290","amino acid ABC transporter ATP-binding protein"
"58","Tohama I",4030523,4031212,690,"+","gene",NA,"BP_RS00295",BP0055,"normal",FALSE,NA,"BP_RS00295","ABC transporter permease subunit"
"59","Tohama I",4029765,4030526,762,"+","gene",NA,"BP_RS00300",BP0056,"normal",FALSE,NA,"BP_RS00300","amino acid ABC transporter permease"
"60","Tohama I",4028786,4029685,900,"+","gene",NA,"BP_RS00305",BP0057,"normal",FALSE,NA,"BP_RS00305","amino acid ABC transporter substrate-bindingprotein"
"61","Tohama I",4027742,4028692,951,"+","gene",NA,"BP_RS00310",BP0058,"normal",FALSE,NA,"BP_RS00310","IS481-like element IS481 family transposase"
"62","Tohama I",4027088,4027643,556,"-","gene",NA,"BP_RS00315",BP0059,"normal",TRUE,NA,"BP_RS00315","LysR family transcriptional regulatorsubstrate-binding protein"
"63","Tohama I",4025715,4026941,1227,"+","gene",NA,"BP_RS00320",BP0060,"normal",FALSE,NA,"BP_RS00320","type II toxin-antitoxin system HipA familytoxin"
"64","Tohama I",4025296,4025715,420,"+","gene",NA,"BP_RS00325",BP0061,"normal",FALSE,NA,"BP_RS00325","helix-turn-helix domain-containing protein"
"65","Tohama I",4024171,4025112,942,"+","gene",NA,"BP_RS00330",BP0062,"normal",FALSE,NA,"BP_RS00330","hypothetical protein"
"66","Tohama I",4023870,4024131,262,"-","gene",NA,"BP_RS00335",BP0063A,"normal",TRUE,NA,"BP_RS00335","transposase"
"67","Tohama I",4022773,4023747,975,"+","gene",NA,"BP_RS00340",BP0063,"normal",FALSE,NA,"BP_RS00340","tripartite tricarboxylate transporter substratebinding protein"
"68","Tohama I",4022135,4022716,582,"+","gene",NA,"BP_RS00345",BP0064,"normal",FALSE,NA,"BP_RS00345","DJ-1/PfpI family protein"
"69","Tohama I",4021820,4022122,303,"+","gene",NA,"BP_RS00350",BP0065,"normal",FALSE,NA,"BP_RS00350","Rieske 2Fe-2S domain-containing protein"
"70","Tohama I",4020643,4021701,1059,"+","gene",NA,"BP_RS00355",BP0066,"normal",FALSE,NA,"BP_RS00355","2Fe-2S iron-sulfur cluster bindingdomain-containing protein"
"71","Tohama I",4019337,4020608,1272,"+","gene",NA,"BP_RS00360",BP0067,"normal",FALSE,NA,"BP_RS00360","TRAP transporter large permease"
"72","Tohama I",4018768,4019306,539,"+","gene",NA,"BP_RS00365",BP0068,"normal",TRUE,NA,"BP_RS00365","TRAP transporter small permease"
"73","Tohama I",4017526,4018707,1182,"+","gene",NA,"BP_RS00370",BP0069,"normal",FALSE,NA,"BP_RS00370","TRAP transporter substrate-binding protein"
"74","Tohama I",4017203,4017505,303,"+","gene",NA,"BP_RS00375",BP0070,"normal",TRUE,NA,"BP_RS00375","hydroxylase"
"75","Tohama I",4016154,4017104,951,"-","gene",NA,"BP_RS00380",BP0071,"normal",FALSE,NA,"BP_RS00380","IS481-like element IS481 family transposase"
"76","Tohama I",4015746,4016060,315,"-","gene",NA,"BP_RS00385",BP0072,"normal",FALSE,NA,"BP_RS00385","DUF1153 domain-containing protein"
"77","Tohama I",4014934,4015740,807,"-","gene",NA,"BP_RS00390",BP0073,"normal",TRUE,NA,"BP_RS00390","IS3 family transposase"
"78","Tohama I",4014715,4014799,85,"+","gene",NA,"BP_RS00395",BPt05,"normal",FALSE,NA,"BP_RS00395",NA
"79","Tohama I",4012646,4014553,1908,"-","gene","htpG","BP_RS00400",BP0074,"normal",FALSE,NA,"BP_RS00400","molecular chaperone HtpG"
"80","Tohama I",4011864,4012484,621,"+","gene",NA,"BP_RS00405",BP0075,"normal",FALSE,NA,"BP_RS00405","glutathione S-transferase"
"81","Tohama I",4011251,4011832,582,"+","gene","ampD","BP_RS00410",BP0076,"normal",FALSE,NA,"BP_RS00410","1,6-anhydro-N-acetylmuramyl-L-alanine amidaseAmpD"
"82","Tohama I",4010911,4011162,252,"+","gene",NA,"BP_RS00415",BP0077,"normal",FALSE,NA,"BP_RS00415","hypothetical protein"
"83","Tohama I",4010067,4010909,843,"+","gene","ccsA","BP_RS00420",BP0078,"normal",FALSE,NA,"BP_RS00420","cytochrome c biogenesis protein CcsA"
"84","Tohama I",4008552,4009961,1410,"-","gene","ffh","BP_RS00425",BP0079,"normal",FALSE,NA,"BP_RS00425","signal recognition particle protein"
"85","Tohama I",4007605,4008555,951,"+","gene",NA,"BP_RS00430",BP0080,"normal",FALSE,NA,"BP_RS00430","IS481-like element IS481 family transposase"
"86","Tohama I",4006586,4007530,945,"-","gene",NA,"BP_RS00435",BP0081,"normal",FALSE,NA,"BP_RS00435","IS481 family transposase"
"87","Tohama I",4004715,4006589,1875,"+","gene","wlbL","BP_RS00440",BP0082,"normal",FALSE,NA,"BP_RS00440","O-antigen biosynthesis protein WlbL"
"88","Tohama I",4003417,4004666,1250,"+","gene",NA,"BP_RS00445",BP0083,"normal",TRUE,NA,"BP_RS00445","hypothetical protein"
"89","Tohama I",4002663,4003367,705,"+","gene","wlbI","BP_RS00450",BP0085,"normal",FALSE,NA,"BP_RS00450","O-antigen biosynthesis protein WlbI"
"90","Tohama I",4001494,4002666,1173,"+","gene","wlbH","BP_RS00455",BP0086,"normal",FALSE,NA,"BP_RS00455","O-antigen biosynthesis protein WlbH"
"91","Tohama I",4000705,4001298,594,"+","gene","wlbG","BP_RS00460",BP0087,"normal",FALSE,NA,"BP_RS00460","O-antigen biosynthesis protein WlbG"
"92","Tohama I",3999476,4000708,1233,"+","gene","wlbF","BP_RS00465",BP0088,"normal",FALSE,NA,"BP_RS00465","O-antigen biosynthesis aminotransferase WlbF"
"93","Tohama I",3998199,3999458,1260,"+","gene","wlbE","BP_RS00470",BP0089,"normal",FALSE,NA,"BP_RS00470","O-antigen biosynthesis protein WlbE"
"94","Tohama I",3997087,3998175,1089,"+","gene","wlbD","BP_RS00475",BP0090,"normal",FALSE,NA,"BP_RS00475","O-antigen biosynthesis protein WlbD"
"95","Tohama I",3995979,3997079,1101,"+","gene","wlbC","BP_RS00480",BP0091,"normal",FALSE,NA,"BP_RS00480","O-antigen biosynthesis protein WlbC"
"96","Tohama I",3995400,3995975,576,"+","gene","wlbB","BP_RS00485",BP0092,"normal",FALSE,NA,"BP_RS00485","O-antigen biosynthesis protein WlbB"
"97","Tohama I",3994344,3995396,1053,"+","gene","wlbA","BP_RS00490",BP0093,"normal",FALSE,NA,"BP_RS00490","O-antigen biosynthesis protein WlbA"
"98","Tohama I",3993206,3994213,1008,"-","gene","waaC","BP_RS00495",BP0094,"normal",FALSE,NA,"BP_RS00495","lipopolysaccharide heptosyltransferase I"
"99","Tohama I",3991918,3993204,1287,"-","gene",NA,"BP_RS00500",BP0095,"normal",FALSE,NA,"BP_RS00500","3-deoxy-D-manno-octulosonic acid transferase"
"100","Tohama I",3991746,3991901,156,"+","gene",NA,"BP_RS19490",BP0096,"normal",FALSE,NA,"BP_RS19490","hypothetical protein"
"101","Tohama I",3990918,3991721,804,"+","gene",NA,"BP_RS00505",BP0097,"normal",FALSE,NA,"BP_RS00505","type III pantothenate kinase"
"102","Tohama I",3990055,3990921,867,"+","gene",NA,"BP_RS00510",BP0098,"normal",FALSE,NA,"BP_RS00510","biotin--[acetyl-CoA-carboxylase] ligase"
"103","Tohama I",3988850,3989980,1131,"-","gene",NA,"BP_RS00515",BP0099,"normal",FALSE,NA,"BP_RS00515","ABC transporter permease"
"104","Tohama I",3988011,3988850,840,"-","gene",NA,"BP_RS00520",BP0100,"normal",FALSE,NA,"BP_RS00520","ATP-binding cassette domain-containing protein"
"105","Tohama I",3987079,3988024,946,"-","gene",NA,"BP_RS00525",BP0101,"normal",TRUE,NA,"BP_RS00525","MCE family protein"
"106","Tohama I",3986476,3987078,603,"-","gene",NA,"BP_RS00530",BP0101A,"normal",FALSE,NA,"BP_RS00530","membrane integrity-associated transportersubunit PqiC"
"107","Tohama I",3985793,3986446,654,"-","gene",NA,"BP_RS00535",BP0101B,"normal",FALSE,NA,"BP_RS00535","alpha/beta hydrolase"
"108","Tohama I",3984404,3985660,1257,"-","gene",NA,"BP_RS00540",BP0102,"normal",FALSE,NA,"BP_RS00540","D-alanyl-D-alanine carboxypeptidase"
"109","Tohama I",3983457,3984356,900,"-","gene",NA,"BP_RS00545",BP0103,"normal",FALSE,NA,"BP_RS00545","D-amino acid aminotransferase"
"110","Tohama I",3983106,3983381,276,"-","gene",NA,"BP_RS00550",BP0104,"normal",FALSE,NA,"BP_RS00550","YbeD family protein"
"111","Tohama I",3982436,3983098,663,"-","gene","lipB","BP_RS00555",BP0105,"normal",FALSE,NA,"BP_RS00555","lipoyl(octanoyl) transferase LipB"
"112","Tohama I",3981373,3982374,1002,"-","gene","lipA","BP_RS00560",BP0106,"normal",FALSE,NA,"BP_RS00560","lipoyl synthase"
"113","Tohama I",3980810,3981358,549,"+","gene","rfbC","BP_RS00565",BP0107,"normal",FALSE,NA,"BP_RS00565","dTDP-4-dehydrorhamnose 3,5-epimerase"
"114","Tohama I",3979856,3980752,897,"+","gene","rfbD","BP_RS00570",BP0108,"normal",FALSE,NA,"BP_RS00570","dTDP-4-dehydrorhamnose reductase"
"115","Tohama I",3978798,3979859,1062,"+","gene","rfbB","BP_RS00575",BP0109,"normal",FALSE,NA,"BP_RS00575","dTDP-glucose 4,6-dehydratase"
"116","Tohama I",3977812,3978762,951,"+","gene",NA,"BP_RS00580",BP0110,"normal",FALSE,NA,"BP_RS00580","IS481-like element IS481 family transposase"
"117","Tohama I",3977086,3977713,628,"+","gene",NA,"BP_RS00585",BP0111,"normal",TRUE,NA,"BP_RS00585","LysE family translocator"
"118","Tohama I",3975719,3976912,1194,"-","gene","metC","BP_RS00590",BP0112,"normal",FALSE,NA,"BP_RS00590","cystathionine beta-lyase"
"119","Tohama I",3975008,3975637,630,"+","gene",NA,"BP_RS00595",BP0113,"normal",FALSE,NA,"BP_RS00595","thiol:disulfide interchange protein DsbA/DsbL"
"120","Tohama I",3974263,3974946,684,"+","gene",NA,"BP_RS00600",BP0114,"normal",FALSE,NA,"BP_RS00600","SPOR domain-containing protein"
"121","Tohama I",3972571,3974253,1683,"+","gene",NA,"BP_RS00605",BP0115,"normal",FALSE,NA,"BP_RS00605","arginine--tRNA ligase"
"122","Tohama I",3971936,3972283,348,"-","gene",NA,"BP_RS00610",BP0116,"normal",FALSE,NA,"BP_RS00610","DUF1840 domain-containing protein"
"123","Tohama I",3971528,3971845,318,"-","gene",NA,"BP_RS00615",BP0117,"normal",FALSE,NA,"BP_RS00615","hypothetical protein"
"124","Tohama I",3970229,3971245,1017,"-","gene",NA,"BP_RS00620",BP0118,"normal",FALSE,NA,"BP_RS00620","IS110-like element IS1663 family transposase"
"125","Tohama I",3969353,3970153,801,"+","gene",NA,"BP_RS00625",BP0119,"normal",FALSE,NA,"BP_RS00625","carbohydrate ABC transporter permease"
"126","Tohama I",3968481,3969356,876,"+","gene",NA,"BP_RS00630",BP0120,"normal",FALSE,NA,"BP_RS00630","sugar ABC transporter permease"
"127","Tohama I",3967178,3968470,1293,"+","gene",NA,"BP_RS00635",BP0121,"normal",FALSE,NA,"BP_RS00635","ABC transporter substrate-binding protein"
"128","Tohama I",3966095,3967135,1041,"+","gene",NA,"BP_RS00640",BP0122,"normal",FALSE,NA,"BP_RS00640","ABC transporter ATP-binding protein"
"129","Tohama I",3965168,3965989,822,"+","gene",NA,"BP_RS00645",BP0123,"normal",FALSE,NA,"BP_RS00645","phosphodiesterase"
"130","Tohama I",3964117,3965067,951,"+","gene",NA,"BP_RS00650",BP0124,"normal",FALSE,NA,"BP_RS00650","IS481-like element IS481 family transposase"
"131","Tohama I",3963113,3964018,906,"+","gene",NA,"BP_RS00655",BP0125,"normal",FALSE,NA,"BP_RS00655","ABC transporter ATP-binding protein"
"132","Tohama I",3962283,3963116,834,"+","gene",NA,"BP_RS00660",BP0126,"normal",FALSE,NA,"BP_RS00660","ABC transporter permease subunit"
"133","Tohama I",3961448,3962271,824,"+","gene",NA,"BP_RS00665",BP0127,"normal",TRUE,NA,"BP_RS00665","ABC transporter permease"
"134","Tohama I",3960436,3961446,1011,"+","gene",NA,"BP_RS00670",BP0128,"normal",FALSE,NA,"BP_RS00670","extracellular solute-binding protein"
"135","Tohama I",3960050,3960439,390,"+","gene",NA,"BP_RS00675",BP0129,"normal",FALSE,NA,"BP_RS00675","substrate-binding domain-containing protein"
"136","Tohama I",3959503,3960021,519,"+","gene",NA,"BP_RS00680",NA,"normal",TRUE,NA,"BP_RS00680","substrate-binding domain-containing protein"
"137","Tohama I",3957903,3959156,1254,"-","gene",NA,"BP_RS00685",BP0130,"normal",FALSE,NA,"BP_RS00685","amidase"
"138","Tohama I",3956112,3957812,1701,"+","gene","leuA","BP_RS00690",BP0131,"normal",FALSE,NA,"BP_RS00690","2-isopropylmalate synthase"
"139","Tohama I",3955038,3955685,648,"+","gene",NA,"BP_RS00695",BP0132,"normal",FALSE,NA,"BP_RS00695","hypothetical protein"
"140","Tohama I",3953600,3955039,1440,"-","gene","rpoN","BP_RS00700",BP0133,"normal",FALSE,NA,"BP_RS00700","RNA polymerase factor sigma-54"
"141","Tohama I",3953205,3953507,303,"-","gene",NA,"BP_RS00705",BP0134,"normal",FALSE,NA,"BP_RS00705","bacterioferritin-associated ferredoxin"
"142","Tohama I",3952299,3953177,879,"+","gene",NA,"BP_RS00710",BP0135,"normal",FALSE,NA,"BP_RS00710","LysR family transcriptional regulator"
"143","Tohama I",3951263,3952191,929,"-","gene",NA,"BP_RS00715",BP0136,"normal",TRUE,NA,"BP_RS00715","DMT family transporter"
"144","Tohama I",3950082,3951032,951,"+","gene",NA,"BP_RS00720",BP0137,"normal",FALSE,NA,"BP_RS00720","IS481-like element IS481 family transposase"
"145","Tohama I",3949711,3949986,276,"-","gene",NA,"BP_RS00725",BP0138,"normal",TRUE,NA,"BP_RS00725","porin"
"146","Tohama I",3948155,3949663,1509,"+","gene","ilvA","BP_RS00730",BP0139,"normal",FALSE,NA,"BP_RS00730","threonine ammonia-lyase, biosynthetic"
"147","Tohama I",3947532,3948068,537,"-","gene",NA,"BP_RS00735",BP0140,"normal",TRUE,NA,"BP_RS00735","DedA family protein"
"148","Tohama I",3943446,3947408,3963,"-","gene",NA,"BP_RS00740",BP0141,"normal",FALSE,NA,"BP_RS00740","FAD/FMN-binding oxidoreductase"
"149","Tohama I",3942611,3943393,783,"-","gene",NA,"BP_RS00745",BP0142,"normal",FALSE,NA,"BP_RS00745","GntR family transcriptional regulator"
"150","Tohama I",3941300,3942523,1224,"+","gene",NA,"BP_RS00750",BP0143,"normal",FALSE,NA,"BP_RS00750","CoA transferase"
"151","Tohama I",3940384,3941316,933,"+","gene",NA,"BP_RS00755",BP0144,"normal",FALSE,NA,"BP_RS00755","alpha/beta hydrolase fold domain-containingprotein"
"152","Tohama I",3939566,3940378,813,"+","gene",NA,"BP_RS00760",BP0145,"normal",FALSE,NA,"BP_RS00760","enoyl-CoA hydratase"
"153","Tohama I",3938325,3939545,1221,"+","gene",NA,"BP_RS00765",BP0146,"normal",TRUE,NA,"BP_RS00765","FAD-dependent monooxygenase"
"154","Tohama I",3937282,3938253,972,"+","gene",NA,"BP_RS00770",BP0148,"normal",FALSE,NA,"BP_RS00770","tripartite tricarboxylate transporter substratebinding protein"
"155","Tohama I",3936381,3937163,783,"-","gene",NA,"BP_RS00775",BP0149,"normal",FALSE,NA,"BP_RS00775","IclR family transcriptional regulator"
"156","Tohama I",3935611,3936370,760,"+","gene",NA,"BP_RS00780",BP0150,"normal",TRUE,NA,"BP_RS00780","LamB/YcsF family protein"
"157","Tohama I",3934634,3935614,981,"+","gene",NA,"BP_RS00785",BP0151,"normal",FALSE,NA,"BP_RS00785","biotin-dependent carboxyltransferase"
"158","Tohama I",3933909,3934637,729,"+","gene","pxpB","BP_RS00790",BP0152,"normal",FALSE,NA,"BP_RS00790","5-oxoprolinase subunit PxpB"
"159","Tohama I",3933453,3933884,432,"+","gene",NA,"BP_RS00795",BP0153,"normal",FALSE,NA,"BP_RS00795","VOC family protein"
"160","Tohama I",3932476,3933351,876,"-","gene",NA,"BP_RS00800",BP0154,"normal",FALSE,NA,"BP_RS00800","LysR family transcriptional regulator"
"161","Tohama I",3931224,3932423,1200,"+","gene","serA","BP_RS00805",BP0155,"normal",FALSE,NA,"BP_RS00805","phosphoglycerate dehydrogenase"
"162","Tohama I",3930658,3931119,462,"+","gene",NA,"BP_RS00810",BP0156,"normal",FALSE,NA,"BP_RS00810","DUF411 domain-containing protein"
"163","Tohama I",3929155,3930552,1398,"+","gene",NA,"BP_RS00815",BP0157,"normal",FALSE,NA,"BP_RS00815","heavy metal sensor histidine kinase"
"164","Tohama I",3928481,3929158,678,"+","gene",NA,"BP_RS00820",BP0158,"normal",FALSE,NA,"BP_RS00820","heavy metal response regulator transcriptionfactor"
"165","Tohama I",3927115,3928425,1311,"+","gene","phoR","BP_RS00825",BP0159,"normal",FALSE,NA,"BP_RS00825","phosphate regulon sensor histidine kinase PhoR"
"166","Tohama I",3926405,3927103,699,"+","gene","phoB","BP_RS00830",BP0160,"normal",FALSE,NA,"BP_RS00830","phosphate regulon transcriptional regulatorPhoB"
"167","Tohama I",3925465,3926241,777,"-","gene","ubiE","BP_RS00835",BP0161,"normal",FALSE,NA,"BP_RS00835","bifunctional demethylmenaquinonemethyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinolmethylase UbiE"
"168","Tohama I",3924277,3925299,1023,"-","gene",NA,"BP_RS00840",BP0162,"normal",FALSE,NA,"BP_RS00840","Tim44 domain-containing protein"
"169","Tohama I",3923413,3924048,636,"-","gene",NA,"BP_RS00845",BP0163,"normal",FALSE,NA,"BP_RS00845","SCP2 sterol-binding domain-containing protein"
"170","Tohama I",3921854,3923416,1563,"-","gene","ubiB","BP_RS00850",BP0164,"normal",FALSE,NA,"BP_RS00850","ubiquinone biosynthesis regulatory proteinkinase UbiB"
"171","Tohama I",3921290,3921679,390,"-","gene",NA,"BP_RS00855",BP0165,"normal",TRUE,NA,"BP_RS00855","ferritin-like domain-containing protein"
"172","Tohama I",3920345,3921295,951,"+","gene",NA,"BP_RS00860",BP0166,"normal",FALSE,NA,"BP_RS00860","IS481-like element IS481 family transposase"
"173","Tohama I",3918911,3920242,1332,"-","gene",NA,"BP_RS00865",BP0167,"normal",TRUE,NA,"BP_RS00865","ABC transporter ATP-binding protein"
"174","Tohama I",3918001,3918903,903,"+","gene",NA,"BP_RS00870",BP0168,"normal",FALSE,NA,"BP_RS00870","YgcG family protein"
"175","Tohama I",3917394,3918023,630,"+","gene",NA,"BP_RS00875",BP0169,"normal",FALSE,NA,"BP_RS00875","LemA family protein"
"176","Tohama I",3915681,3917111,1431,"-","gene",NA,"BP_RS00880",BP0170,"normal",FALSE,NA,"BP_RS00880","DEAD/DEAH box helicase"
